timestamp,event_type,seq_no,attempt_no,rtt_seconds
1780661959.6716316,TIMEOUT,370,1,
1780661959.67204,SEND,370,2,
1780661961.6851933,TIMEOUT,370,2,
1780661961.6854966,SEND,370,3,
1780661961.6882813,ACK,370,3,0.00278472900390625
1780661961.691769,SEND,371,1,
1780661961.6928248,ACK,371,1,0.0010559558868408203
1780661961.6940494,SEND,372,1,
1780661961.695588,ACK,372,1,0.0015387535095214844
1780661961.6968768,SEND,373,1,
1780661961.705754,ACK,373,1,0.008877277374267578
1780661961.7066963,SEND,374,1,
1780661961.7077641,ACK,374,1,0.0010678768157958984
1780661961.7086668,SEND,375,1,
1780661961.7097692,ACK,375,1,0.001102447509765625
1780661961.7107072,SEND,376,1,
1780661961.7118282,ACK,376,1,0.0011210441589355469
1780661961.7125516,SEND,377,1,
1780661961.7132928,ACK,377,1,0.0007412433624267578
1780661961.7140398,SEND,378,1,
1780661961.7213726,ACK,378,1,0.007332801818847656
1780661961.7236178,SEND,379,1,
1780661961.7266018,ACK,379,1,0.0029840469360351562
1780661961.7276301,SEND,380,1,
1780661961.728584,ACK,380,1,0.0009539127349853516
1780661961.7290635,SEND,381,1,
1780661961.7297215,ACK,381,1,0.0006580352783203125
1780661961.730166,SEND,382,1,
1780661961.7306705,ACK,382,1,0.0005044937133789062
1780661961.7311466,SEND,383,1,
1780661961.731705,ACK,383,1,0.0005583763122558594
1780661961.7321806,SEND,384,1,
1780661961.7329626,ACK,384,1,0.000782012939453125
1780661961.742363,SEND,385,1,
1780661961.7458682,ACK,385,1,0.003505229949951172
1780661961.7464166,SEND,386,1,
1780661961.7471383,ACK,386,1,0.0007216930389404297
1780661961.7476015,SEND,387,1,
1780661961.7481306,ACK,387,1,0.0005290508270263672
1780661961.7485938,SEND,388,1,
1780661961.7490742,ACK,388,1,0.00048041343688964844
1780661961.749966,SEND,389,1,
1780661961.7509742,ACK,389,1,0.0010082721710205078
1780661961.7539096,SEND,390,1,
1780661963.7674375,TIMEOUT,390,1,
